id,program_type,url,title,year,module,status,language,credits,content,results
1048849927,se,https://www.hse.ru/ba/se/courses/1048849927.html,Agile в корпоративной среде,4-й курс,1-3 модуль,Курс по выбору,RUS,10.0,1) Развитие цифровых технологий благодаря гибкости бизнеса 2) Лидерство в Lean-Agile 3) Создание команды и техническая гибкость 4) Планирование и создание решений с гибкой поставкой результатов 5) Бережливое управлением портфелем 6) Управление изменениями в базовых бизнес-процессах производства,"В конце вы должны быть в состоянии:
1) Описать, что необходимо для развития цифровых технологий;
2) Обосновать почему SAFe может быть базисом для гибкости бизнеса;
3) Сформулировать основные компетенции бизнес-гибкости; В конце вы должны быть в состоянии:
1) Приминять подход Бережливо-гибкого мышления;
2) Применять принципы SAFe при масштабировании Agile подхода; В конце вы должны быть в состоянии:
1) Подготовиться к формированию кросс-функциональных Agile-команд;
2) Сформулировать принципы встраивания контроля и обеспечения качества в  бизнес-процесс;
3) Подготовиться к организации Agile Release Trains (ARTs) вокруг потока ценности; В конце вы должны уметь:

1) Рассказать о преимуществах клиентоориентированной культуры;
2) Уметь расставлять приоритеты с взвешиванием внутри портфеля и/или программы ориентируясь на самую короткую работу в первую очередь (WSJF);
3) Организовать и провести PI Planning;
4) Объяснить необходимость построения синхронного процесса разработка;
5) Обосновать необходимость создания и поддержки конвейера непрерывной доставки с помощью DevOps; В конце вы должны быть в состоянии:
1) Описать цель и элементы формирования портфеля по принципам SAFe;
2) Понимать принципы формулирования стратегических тем/целей;
3) Применять Portfolio Canvas для описания текущего и будущего состояний;
4) Создавать Эпики (гипотезы) для уточнения стратегии;
5) Понимать разницу между традиционным и бережливым подходами к бюджетированию;
6) Применять Kanban для управления портфелем; В конце вы должны быть в состоянии:
1) Объяснить зачем подавать пример;
2) Рассказать про методы проведения успешных изменений;
3) Запланировать шаги в дорожной карте внедрения SAFe;"
1048869212,se,https://www.hse.ru/ba/se/courses/1048869212.html,Алгебра,1-й курс,1-4 модуль,Курс обязательный,RUS,9.0,"Системы линейных уравнений, матрицы Определители Системы линейных уравнений, матрицы (продолжение) Векторная алгебра. Элементы аналитической геометрии Комплексные числа Элементы общей алгебры Линейные пространства. Линейные отображения и операторы. Билинейные и квадратичные функции, евклидовы пространства Кривые и поверхности второго порядка","Умение вычислять определители матриц (в том числе, используя определение), находить ранги матриц. Умение выяснять является ли данный алгебраический объект линейным пространством. Уметь находить матрицы линейных операторов, выяснять когда эти матрицы имеют простейший вид и находить его. Умение исследовать строение групп. Умение применять основы шифрования. Умение выяснять, является ли данной множество кольцом, полем, алгеброй и уметь устанавливать изоморфизмы между ними. Умение классифицировать кривые и поверхности второго порядка и приводить их к каноническому виду с помощью ортогонального преобразования и сдвига. Умение находить расстояния между вектором и линейным многообразием в евклидовом пространстве. Умение находить основные матричные разложения. Умение находить фундаментальную систему решений однородной СЛАУ, находить общее решение неоднородной СЛАУ, исследовать СЛАУ на совместность. Умение приводить билинейные и квадратичные формы к каноническому виду, исследовать их на положительную и отрицательную определенность. Умение применять основные векторные и матричные операции для решения задач аналитической геометрии. Умение работать с комплексными числами (в частности, умение извлекать комплексные корни). Умение выяснять, является ли данное множество с данной бинарной операцией полугруппой, моноидом, группой. Умение решать системы линейных уравнений при помощи алгоритма Гаусса, выполнять операции над матрицами."
1048869244,se,https://www.hse.ru/ba/se/courses/1048869244.html,Алгоритмы и алгоритмические языки,1-й курс,1,Курс обязательный,RUS,5.0,"Цели и задачи курса. Характеристика разделов курса. Структура программного файла.  Системные библиотеки и их использование. Описание Си-машины. Типы данных языка Си. Приведение типов при вычислении выражений (явное и неявное). Операторы: выражение-оператор, составный оператор, условный оператор, оператор выбора, циклы, оператор перехода. Обработка строк. Операция sizeof. Указатели. Адресная арифметика. Возврат из функции. Рекурсия. Хвостовая рекурсия. Встраивание функций. Указатели на функцию. Схема компиляции программ на языке Си. Препроцессор. Директивы препроцессора. Динамическое выделение и освобождение памяти. Инструменты поиска ошибок с динамической памятью. Представление данных с плавающей точкой. Стандарт IEEE 754. Организация типа данных «стек» на динамической памяти. Реализация стека как библиотеки. Использование стека для построения обратной польской записи. Простейшие алгоритмы сортировки (выбором, вставками, обменами).  Оценка сложности алгоритмов сортировки. ""Прошитое"" двоичное дерево и его обход. Двоичные деревья поиска и операции над ними. Красно-черные деревья, их высота и вставка в красно-черное дерево. Хеширование. Хеширование цепочками.",Знания основы языка С
1048863889,se,https://www.hse.ru/ba/se/courses/1048863889.html,Алгоритмы и структуры данных,2-й курс,1-4 модуль,Курс обязательный,RUS,8.0,"Неделя 1. Корректность и сложность алгоритма Неделя 2. Линейные контейнеры Неделя 3. Асимптотический анализ. Рекуррентное соотношение Неделя 4. Асимптотический анализ. Дерево рекурсии Неделя 5. Мастер-теорема для решения рекуррентных соотношений Неделя 6-7. Стохастические алгоритмы Неделя 8. Сортировка, основанная на сравнениях Неделя 9. Линейная сортировка Неделя 10. Бинарные деревья (поиска). Введение Неделя 11. AVL-деревья и красно-черные деревья Неделя 12. Случайные и декартовы деревья Неделя 13. Splay-деревья Неделя 14. Хеширование. Хеш-функции Неделя 15.  Хеш-таблицы Неделя 16. Вероятностные структуры данных Неделя 17. Графы. Базовые аспекты Неделя 18. Остовное дерево графа Неделя 19. Поиск кратчайших путей в графе Неделя 20. Сети и потоки Неделя 21. Паросочетания в графах Неделя 22-23. Раскраска и укладка графа Неделя 24. Поиск точного вхождения строки в текст Неделя 25. Редакционные расстояния Неделя 26. Поиск вхождения набора строк в текст Неделя 27. Хранение и сортировка строк Неделя 28. Кодирование и сжатие строк Неделя 29. Жадный алгоритм и динамическое программирование Неделя 30. Приближенные алгоритмы. Метод ветвей и границ Неделя 31. Стохастические алгоритмы Неделя 32. Разрешимость","овладеть подходами к анализу, проектированию и реализации базовых (массивы, списки, стеки, очереди) и продвинутых (хеш-таблицы, очереди с приоритетами, сбалансированные деревья поиска, графы) структур данных получить практический опыт реализации изученных алгоритмов и структур данных на языке программирования С++ овладеть специальными подходами к разработке алгоритмов (стохастические и приближенные алгоритмы) овладеть основными парадигмами разработки алгоритмов (жадные алгоритмы, динамическое программирование и ""разделяй-и-властвуй"") овладеть подходами точного, асимптотического и амортизированного анализа сложности алгоритмов"
1048851103,se,https://www.hse.ru/ba/se/courses/1048851103.html,Анализ уязвимостей в Web 3,4-й курс,1-3 модуль,Курс по выбору,RUS,10.0,"Введение в блокчейн, особенности безопасности Криптография в блокчейне Архитектура узла блокчейна Консенсусы в блокчейне Виртуальные машины и модели вычислений Платформа Ethereum Язык Solidity Достижение конфиденциальности Введение в zk-SNARK Поставка данных из внешних систем Платформа Hyperledger Fabric Алгоритмическая теория игр и атаки Аудит безопасности контрактов на Solidity Уязвимости DeFi Уязвимости DAO Статические анализаторы контрактов Фаззинг контрактов Формальная верификация Применение искусственного интеллекта Разборы  атак на EVM контракты и платформы Разборы атак на не-EVM контракты Атаки на платформы Платформа Waves Enterprise","Получение студентом общего представления о блокчейн технологиях и актуальности рассматриваемой темы. Студент знает какие есть уровни, какие есть сквозные аспекты влияющие на безопасность блокчейн проекта Студент знает и понимает как работает криптография, как она реализована в блокчейне и какие виды уязвимостей в ней могут быть Студент понимает и может проводить самостоятельные исследования блокчейн платформ на уровне консенсусов Студент знает и понимает ограничения, которые имеют те или иные виртуальные машины Студент получает детальные знания EVM и получает прикладные навыки работы с EVM Студент умеет писать смарт-контракты Студент понимает способы обеспечения конфиденциальности принятые в блокчейн платформах Студент понимает принципы доказательств с нулевым разглашением Студент понимает принципы работы оракулов и мостов, умеет работать с сервисами поставки данных Студент понимает как разрабатывать и как обеспечивать защиту блокчейн приложений на основе Hyperledger Fabric Студент понимает стратегии рационального поведения участников блокчейн сетей Студент понимает что из себя представляет эта профессия, какие знания и навыки необходимы для продуктивной деятельности, получает дорожную карту своего развития Студент получает знания и умения исследования уязвимостей DeFi протоколов Студент получает знания и умения исследования уязвимостей DAO протоколов Студент понимает как работают статические анализаторы и получает навыки работы со статическими анализаторами Студент понимает как применять инструменты фаззинга и получает навыки работы с этими инструментом Студент поймет что такое формальная верификация и получит навыки работы с инструментами формальной верификации Студент получает начальные навыки применения ИИ для проверки безопасности Студент знакомится со сложными сценариями злоумышленников для реализации атак в EVM Студент знакомится со сценариями злоумышленников для реализации атак в EVM"
1048863976,se,https://www.hse.ru/ba/se/courses/1048863976.html,Архитектура компьютера и операционные системы,2-й курс,1,Курс по выбору,RUS,4.0,"Архитектуры вычислительных систем (ВС). Основные понятия и определения. Знание терминологии, определений, исторических сведений Поддержка однозначного выполнения операций. Системы типов. Отображение на архитектурные решения Понимание особенностей систем команд, отображаемых в различных архитектурных уровнях Архитектура уровня системы (набора) команд. Классификация архитектур. Обзор различных архитектурных решений Знание об особенностях систем команд и их влияние на низкоуровневое программирование. Знание конкретной изучаемой архитектуры. Представление данных в вычислительных системах. Знание о форматах данных и особенностях реализации обработки различных типов данных в компьютерах. Особенности RISC архитектур. Архитектура и система команд  процессоров RISC-V. Понимание особенностей, достоинства и недостатков архитектур ВС с различными системами команд. Знание особенностей конкретной архитектуры. Архитектуры параллельных вычислительных систем. Основные структурные решения и концепции. Понимание особенностей, достоинства и недостатков архитектур ПВС. Знание основных особенностей разработки ПО для различных ПВС. Операционные системы (ОС). Основные понятия и определения. Знание терминологии, определений, исторических сведений Файловая система Получение знаний о файловой системе и работе с файлами. Процессы. Особенности создания и использования Получение сведений об организации процессов и их использовании при разработке ПО Взаимодействие процессов Общие сведения о взаимодействии процессов Каналы, очереди сообщений, разделяемая память, сигналы Знание о механизмах обеспечивающих взаимодействие процессов Потоки Общие сведения о многопоточном программировании. Планирование процессов Общие сведения о мультипрограммном и многопроцессорном управлении процессами. Управление памятью Общие сведения об использовании памяти и управлении ее распределением.","1. Понимание взаимосвязей между различными уровнями архитектурных решений и особенностей отображения вышестоящих уровней в нижестоящие.
2. Умение выбирать при разработке программного обеспечения архитектурные решения, повышающие эффективность современных компьютеров с учетом их аппаратных возможностей, операционных систем и языков программирования различного уровня организации. 3. Понимание тенденций развития архитектур современных вычислительных систем.
4. Знание организации процессов и потоков в операционных системах, их взаимодействия и умение их использовать на практике. Знание механизмов синхронизации процессов и способов их применения. 5. Понимание организации файловых систем и умение работы с файлами.
6. Умение обрабатывать сигналы, приходящие процессам.
7. Использование взаимодействия процессов через каналы, очереди сообщений, разделяемую память.
8. Умение пользоваться командами командного интерпретатора операционной системы Linux."
1048869261,se,https://www.hse.ru/ba/se/courses/1048869261.html,Архитектура ЭВМ и язык ассемблера,1-й курс,3,Курс обязательный,RUS,3.0,".Введение в архитектуру ЭВМ на примерах ассемблерных программ .Взаимосвязь языков Си/Си++, языка ассемблера и особенностей архитектуры ЭВМ на примере архитектуры IA-32 .Система программирования языка Си/Си++ и ее связь с архитектурой ЭВМ .Архитектура ЭВМ в разных аспектах: от физической организации до поддержки системных и прикладных программ","Знать основные принципы устройства ЭВМ, его основные компоненты, их качественные и количественные характеристики. Знать свойства аппаратуры, влияющие на производительность и безопасность работы программ. Особенности двоичного (бинарного) интерфейса приложений на примере архитектуры IA-32. Знания: Основные принципы устройства ЭВМ, его основные компоненты, их качественные и количественные характеристики. Особенности архитектуры x86, влияние архитектуры набора команд на реализацию языков высокого уровня и систему программирования. Знания: Язык ассемблера архитектуры x86, особенности реализации различных конструкций языка Си/Си++ на уровне языка ассемблера и причины, влияющие на выбор механизма реализации. Свойства аппаратуры, влияющие на производительность и безопасность работы программ. Особенности двоичного (бинарного) интерфейса приложений на примере архитектуры x86. Умения: Составлять и отлаживать многомодульные программы на языках Си/Си++ и ассемблера; реализовывать интерфейсы между модулями, реализованными на разных языках программирования (Си/Си++и ассемблер). Обосновано выбирать механизмы реализации конструкций языка Си/Си++ и корректно их кодировать на языке ассемблера архитектуры x86. Умения: Оценивать производительность и безопасность программ на языках Си/Си++ и ассемблера, используя знания об особенностях устройства аппаратуры ЭВМ. Восстанавливать по ассемблерному коду операторы и типы данных языка Си/Си++. Владение: Технологией разработки и отладки многомодульных программ на языках Си/Си++ и ассемблера."
1048855776,se,https://www.hse.ru/ba/se/courses/1048855776.html,Базы данных,3-й курс,1,Курс по выбору,RUS,5.0,Введение в управление данными Моделирование данных Проектирование баз данных: диаграммы сущность-связь Реляционная модель данных Проектирование реляционных баз данных Реляционные языки запросов Язык SQL: DDL Язык SQL: Запросы Язык SQL: DML Процедурные расширения SQL Доступ к базам данных из приложений Файловые структуры хранения данных Индексы Выполнение запросов Управление транзакциями,"Знает основы теории организации и применения баз данных; Знает место и роль баз данных в информационных системах, основы организации промышленных систем управления базами данных; Знает современное состояние и тенденции развития систем управления базами данных. Знает уровни представления данных, основные модели данных, методы организации, поиска и обработки данных; Знает операции реляционной алгебры; Знает нормальные формы схем отношений; Знает типы целостности данных, методы обеспечения целостности данных; Знает языки запросов, их классификацию и области применения; Знает язык запросов SQL в части средств описания данных и манипулирования данными; Знает операторы выборки, добавления, модификации и удаления данных языка запросов SQL; Знает способы обеспечения независимости и защиты данных с использованием представлений и хранимых процедур; Умеет выполнять инфологическое проектирование баз данных методом «сущность-связь»; Умеет выполнять логическое проектирование реляционных баз данных; Умеет выполнять нормализацию схем отношений реляционных баз данных; Умеет выбирать типы индексов, создавать и настраивать индексы; Умеет использовать транзакции; Умеет получать доступ к данным с помощью курсоров; Владеет навыками применения методов описания схем баз данных в современных СУБД; Владеет навыками инфологического проектирования баз данных методом «сущность-связь»; Владеет навыками нормализации схем отношений реляционных баз данных; Владеет навыками разработки приложений баз данных, выполняющихся на компьютере пользователя; Владеет навыками разработки приложений баз данных с веб-интерфейсом; Владеет в применении средств объектно-реляционного отображения. Знает принципы работы векторных баз данных и RAG (Retrieval-Augmented Generation) архитектур."
1048855741,se,https://www.hse.ru/ba/se/courses/1048855741.html,Базы данных (часть 2),3-й курс,1,Курс по выбору,RUS,5.0,Основы управления данными Архитектуры и модели хранилищ данных Качество данных и интеграция данных Базы данных ключ-значение и документно-ориентированные базы данных Hadoop и Spark Распределенные базы данных NoSQL Базы данных в оперативной памяти Обработка потоков данных,"Знание метрик качества данных. Знание основных шаблонов проектирования процессов интеграции данных и умение их применять на практике. Умеет идентифицировать существующие подходы к обеспечению качества данных Понимать и уметь объяснить архитектуру систем баз данных, принципы концептуального, логического и физического проектирования баз данных. Уметь сравнивать базы и хранилища данных Знает основные понятия многомерной модели хранилищ данных: меры, измерения, иерархии, операции OLAP Умеет выполнять концептуальное проектирование многомерной модели хранилища данных Умеет отобразить концептуальную модель хранилища данных на логические ROLAP модели звезды и снежинки Знание архитектур интеграции данных. Знание методов очистки данных. Создавать документно-ориентированные базы данных, сохранять и извлекать документы из них. Создавать и использовать базы данных ключ-значение. Использовать HDFS  для хранения, поиска и извлечения файлов. Оценивать применимость Hadoop для решения конкретных задач. Объяснять процесс выполнения программ  MapReduce в YARN. Проектировать модели данных для Cassandra. Составлять запросы и команды на CQL. Обсуждать устройство Cassandra. Оценивать применимость баз данных в оперативной памяти к решению конкретных задач. Описывать устройство и структуру хранения данных в базах данных в оперативной памяти. Описывать реализацию основных операций в базах данных в оперативной памяти. Использовать Kafka для связи систем и сервисов. Составлять запросы для потоковой обработки данных в ksqlDB. Составлять программы для обработки потоков данных на Flink. Составлять программы для распределенной обработки данных на Spark."
1048868889,se,https://www.hse.ru/ba/se/courses/1048868889.html,Безопасность жизнедеятельности,1-й курс,1,Курс обязательный,RUS,1.0,Раздел 1: Адаптационная программа от Кураторов Вышки Раздел 2: Жизнь в Вышке. Часть 1 Раздел 3: Жизнь в Вышке. Часть 2 Раздел 4: Жизнь в Вышке. Часть 3 Домашнее задание №1: «Экстра. Проектирование студенческого опыта» Раздел 5: Жизнь в городе Раздел 6: Жизнь и поддержка Домашнее задание №2: «Анкета о траектории развития в НИУ ВШЭ» Домашнее задание №3: «Этика использования ИИ» Прохождение курса «Учеба без стресса: как сохранить силы и мотивацию в учебном году»,"Сформировано общее представление об учебных процессах НИУ ВШЭ Сформировано общее представление о внеучебной жизни в университете Называет особенности устройства образовательного процесса в НИУ ВШЭ Называет особенности организационной структуры НИУ ВШЭ Называет цифровые сервисы НИУ ВШЭ Называет права и обязанности студента НИУ ВШЭ Называют форматы обратной связи Называют правила пересдач и итоговой аттестации Называют правила оформления корректного цитирования Называют дисциплины общего цикла, профессиональные и практические модули, модули Minor Называет треки развития внеучебной жизни в НИУ ВШЭ Называет треки развития внеучебной жизни НИУ ВШЭ Называет основные правила поведения в условиях ЧС Называет правила профилактики вирусных заболеваний Называет правила антитеррористической и противопожарной безопасности Называет навыки ведения здорового образа жизни в городе Называет формы социальной помощи студентам в НИУ ВШЭ Называет формы и сервисы психологической помощи студентам в НИУ ВШЭ Называет способы получения материальной помощи в НИУ ВШЭ Называет и использует приемы саморефлексии Студент знает и называет основные принципы этического использования Искусственного интеллекта в академических работах."
1048861945,se,https://www.hse.ru/ba/se/courses/1048861945.html,Безопасность промышленных систем данных,4-й курс,1-3 модуль,Курс по выбору,RUS,10.0,,
1048869220,se,https://www.hse.ru/ba/se/courses/1048869220.html,Введение в программную инженерию,1-й курс,1,Курс обязательный,RUS,4.0,"Программная инженерия в жизненном цикле программных средств Профили стандартов жизненного цикла систем и программных средств в программной инженерии Модели и процессы управления проектами программных средств Системное проектирование программных средств Технико-экономическое обоснование проектов программных средств Разработка требований к программным средствам Планирование жизненного цикла программных средств Объектно-ориентированное проектирование программных средств Управление ресурсами в жизненном цикле программных средств Дефекты, ошибки и риски в жизненном цикле программных средств Характеристики качества программных средств Выбор характеристик качества в проектах программных средств Верификация, тестирование и оценивание корректности программных компонентов Интеграция, квалификационное тестирование и испытания комплексов программ Сопровождение и мониторинг программных средств Управление конфигурацией в жизненном цикле программных средств Документирование программных средств Удостоверение качества и сертификация программных продуктов","Знать задачи и методы программной инженерии Знать современные модели, ключевые концепции и технологии разработки программных систем Знать стандарты программной инженерии Иметь навыки разработки программной документации в соответствии с ГОСТ ЕСПД Уметь планировать разработку программного проекта с использованием инструментальных средств"
1048855386,se,https://www.hse.ru/ba/se/courses/1048855386.html,Внешнее измерение цифровых компетенций. Итоговый контроль,3-й курс,2 модуль,Курс обязательный,RUS,,Внешнее измерение цифровых компетенций.Итоговый контроль,Визуализация. Статистика. Теория вероятностей
1048868867,se,https://www.hse.ru/ba/se/courses/1048868867.html,English Language Integrative Exam,1-й курс,4 модуль,Курс обязательный,ENG,,,
